Data;Dollar;Oil Brent
22.10.2020;77,0322;42,93
23.10.2020;77,0809;42,62
24.10.2020;76,4667;43,16
27.10.2020;76,4443;41,73
28.10.2020;76,4556;42,46
29.10.2020;77,552;41,77
30.10.2020;78,8699;40,46
31.10.2020;79,3323;41,20
03.11.2020;80,5749;39,12
04.11.2020;80,0006;37,65
06.11.2020;78,4559;37,94
07.11.2020;77,1875;38,97
10.11.2020;76,9515;39,71
11.11.2020;76,3978;41,23
12.11.2020;76,2075;40,93
13.11.2020;77,1148;39,45
14.11.2020;77,3262;42,40
17.11.2020;76,9197;43,61
18.11.2020;76,253;43,80
19.11.2020;75,9268;43,53
20.11.2020;76,2627;42,78
21.11.2020;76,012;43,82
24.11.2020;75,76;43,75
25.11.2020;75,8146;44,34
26.11.2020;75,4727;44,20
27.11.2020;75,4518;44,96
28.11.2020;75,8599;46,06
01.12.2020;76,1999;47,86
02.12.2020;76,3203;48,61
03.12.2020;75,6151;47,80
04.12.2020;75,1996;48,18
05.12.2020;74,2529;47,59
08.12.2020;74,2506;47,42
09.12.2020;73,6618;48,25
10.12.2020;73,3057;48,71
11.12.2020;73,7124;49,25
12.12.2020;73,1195;48,79
15.12.2020;72,9272;48,84
16.12.2020;73,4453;48,86
17.12.2020;73,4201;50,25
18.12.2020;72,9781;49,97
19.12.2020;73,3155;50,29
22.12.2020;74,6721;50,76
23.12.2020;75,3498;51,08
24.12.2020;75,4571;51,50
25.12.2020;74,8392;52,26
26.12.2020;73,6921;50,91
29.12.2020;73,7175;50,08
30.12.2020;73,6567;51,20
31.12.2020;73,8757;51,29
