Region;N;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20
Кабардино-Балкарская Республика;40;59.0;61.3;78.3;38.8;19.1;1.1;55.7;15.0;5.8;44.4;12.4;13.2;68.3;32.8;10.7;65.2;34.1;2.3;8;59.4
Карачаево-Черкесская Республика;41;77.2;63.3;78;40.2;32.1;0.4;54.2;15.7;7.2;48.4;16.4;15.4;56.8;43.6;1.8;84.2;38.2;0;15;80.9
Республика Северная Осетия;42;39.4;72.3;84.7;37.3;26.6;1.1;55.9;16.0;8.3;49.7;19.6;15.2;57.6;32.4;3.4;69.1;27.7;1.6;10;81.8
Чеченская Республика;43;100.0;61.7;85.9;34.2;26.0;0.5;48.2;6.7;2.8;58.8;7.1;6.6;51.0;59.8;1.2;92.4;67.2;3;20;92.9
Ставропольский Край;44;69.7;69.3;75.5;44.2;33.4;1.1;60.2;27.5;11.3;58.4;27.7;25.0;66.5;42.2;9.3;95.3;42.4;35.8;18;86.4
Республика Башкортостан;45;69.3;71.8;79.7;41.5;32.1;1.0;62.6;31.1;19.2;53.8;23.3;24.0;58.6;78.3;9;95.7;53.0;6.9;29;85.9
Республика Марий Эл;46;84.9;56.5;66.1;40.6;29.8;1.5;55.2;21.2;8.6;44.2;21.1;19.2;58.1;40.4;6.8;93.8;61.1;3.7;28;79.3
Республика Мордовия;47;57.4;63.5;67.1;43.0;33.3;1.9;58.5;20.1;11.1;45.8;21.6;19.8;60.0;39.8;2.8;89.3;43.5;11.4;24;88.9
Республика Татарстан;48;56.7;72.8;81.8;44.8;32.1;1.4;66.1;30.9;14.1;52.4;26.0;27.6;63.3;78.1;7.2;96.0;43.5;16.3;32;79.5
Удмуртская Республика;49;83.5;64.3;70.3;46.2;33.7;2.0;64.1;25.7;12.5;54.4;26.8;21.2;63.1;61.1;7.8;93.1;51.3;15.2;32;88.5
Чувашская Республика;50;78.8;59.0;62.6;50.0;39.7;1.6;64.8;28.8;11.3;66.6;27.6;22.9;64.0;49.8;7.9;98.7;81.5;18.5;30;96.3
Пермский Край;51;57.1;69.3;72.6;48.1;37.0;1.6;61.8;30.5;19.2;33.2;22.6;25.9;72.6;35.9;17.1;91.9;36.2;18.3;39;88.9
Кировская область;52;60.2;62.0;64.1;48.1;31.4;1.2;60.6;21.5;9.2;54.4;15.0;16.2;59.4;48.1;6.7;82.2;35.9;9.8;19;69.4
Нижегородская область;53;46.4;68.7;72.9;48.4;32.2;1.4;70.2;28.2;15.3;54.9;29.2;25.5;67.2;63.1;5.2;93.4;60.2;9.7;19;92.5
Оренбургская область ;54;59.4;76.9;80.5;44.4;32.9;0.6;65.9;23.6;13.0;52;22.2;19.8;69.5;67.2;5.8;94.9;55.3;21.5;26;85.7
